,TARGET,DAYS_EMPLOYED,DAYS_ID_PUBLISH,REGION_RATING_CLIENT,REG_CITY_NOT_WORK_CITY,EXT_SOURCE_2,DAYS_LAST_PHONE_CHANGE,CODE_GENDER_F,AMT_CREDIT,AMT_INCOME_TOTAL,AMT_ANNUITY,Client,AGE,Working,Higher_Education
0,1.0,-637.0,-2120.0,2.0,0.0,0.2629485927471776,-1134.0,0.0,406597.5,202500.0,24700.5,100002.0,25.92054794520548,1.0,0.0
1,0.0,-1188.0,-291.0,1.0,0.0,0.6222457752555098,-828.0,1.0,1293502.5,270000.0,35698.5,100003.0,45.93150684931507,0.0,1.0
2,0.0,-225.0,-2531.0,2.0,0.0,0.5559120833904428,-815.0,0.0,135000.0,67500.0,6750.0,100004.0,52.18082191780822,1.0,0.0
3,0.0,-3039.0,-2437.0,2.0,0.0,0.6504416904014653,-617.0,1.0,312682.5,135000.0,29686.5,100006.0,52.06849315068493,1.0,0.0
4,0.0,-3038.0,-3458.0,2.0,1.0,0.3227382869704046,-1106.0,0.0,513000.0,121500.0,21865.5,100007.0,54.608219178082194,1.0,0.0
5,0.0,-1588.0,-477.0,2.0,0.0,0.3542247319929012,-2536.0,0.0,490495.5,99000.0,27517.5,100008.0,46.413698630136984,0.0,0.0
6,0.0,-3130.0,-619.0,2.0,0.0,0.7239998516953141,-1562.0,1.0,1560726.0,171000.0,41301.0,100009.0,37.74794520547945,0.0,1.0
7,0.0,-449.0,-2379.0,3.0,1.0,0.7142792864482229,-1070.0,0.0,1530000.0,360000.0,42075.0,100010.0,51.64383561643836,0.0,1.0
8,0.0,-1213.0,-3514.0,2.0,0.0,0.2057472880073281,0.0,1.0,1019610.0,112500.0,33826.5,100011.0,55.06575342465754,0.0,0.0
9,0.0,-2019.0,-3992.0,2.0,0.0,0.7466436294590924,-1673.0,0.0,405000.0,135000.0,20250.0,100012.0,39.64109589041096,1.0,0.0
10,0.0,-679.0,-738.0,2.0,0.0,0.6518623334244781,-844.0,1.0,652500.0,112500.0,21177.0,100014.0,27.936986301369863,1.0,1.0
11,0.0,-1213.0,-2512.0,2.0,0.0,0.5551831615131809,-2396.0,1.0,148365.0,38419.155,10678.5,100015.0,55.93698630136986,0.0,0.0
12,0.0,-2717.0,-3227.0,2.0,0.0,0.7150418188660659,-2370.0,1.0,80865.0,67500.0,5881.5,100016.0,36.81917808219178,1.0,0.0
13,0.0,-3028.0,-4911.0,2.0,0.0,0.5669066132460429,-4.0,0.0,918468.0,225000.0,28966.5,100017.0,38.59178082191781,1.0,0.0
14,0.0,-203.0,-2056.0,2.0,0.0,0.6426562048311103,-188.0,1.0,773680.5,189000.0,32778.0,100018.0,39.95342465753425,1.0,0.0
15,0.0,-1157.0,-1368.0,3.0,1.0,0.34663398139668,-925.0,0.0,299772.0,157500.0,20160.0,100019.0,23.912328767123288,1.0,0.0
16,0.0,-1317.0,-3866.0,2.0,1.0,0.2363778398884225,-3.0,0.0,509602.5,108000.0,26149.5,100020.0,35.42739726027397,1.0,0.0
17,0.0,-191.0,-2427.0,2.0,1.0,0.6835133461914255,-2811.0,1.0,270000.0,81000.0,13500.0,100021.0,26.783561643835615,1.0,0.0
18,0.0,-7804.0,-1259.0,1.0,0.0,0.7064284028871654,-239.0,1.0,157500.0,112500.0,7875.0,100022.0,48.54246575342466,1.0,0.0
19,0.0,-2038.0,-3964.0,2.0,0.0,0.5866171400119664,-1850.0,1.0,544491.0,90000.0,17563.5,100023.0,31.09041095890411,0.0,1.0
20,0.0,-4286.0,-1800.0,2.0,0.0,0.113374512719927,-296.0,0.0,427500.0,135000.0,21375.0,100024.0,50.00547945205479,1.0,0.0
21,0.0,-1652.0,-2299.0,2.0,0.0,0.2337669575081463,0.0,1.0,1132573.5,202500.0,37561.5,100025.0,40.58904109589041,0.0,0.0
22,0.0,-4306.0,-2518.0,3.0,0.0,0.457142971588935,-468.0,1.0,497520.0,450000.0,32521.5,100026.0,30.53698630136986,1.0,0.0
23,0.0,-1213.0,-3684.0,3.0,0.0,0.6243047373592765,-795.0,1.0,239850.0,83250.0,23850.0,100027.0,68.01917808219179,0.0,0.0
24,0.0,-746.0,-3729.0,2.0,1.0,0.7861793090532118,-4.0,0.0,247500.0,135000.0,12703.5,100029.0,30.92054794520548,1.0,0.0
25,0.0,-3494.0,-2893.0,2.0,0.0,0.6514056365297631,0.0,1.0,225000.0,90000.0,11074.5,100030.0,52.96986301369863,1.0,0.0
26,1.0,-2628.0,-1827.0,3.0,0.0,0.5484771599678789,-161.0,1.0,979992.0,112500.0,27076.5,100031.0,51.298630136986304,1.0,0.0
27,0.0,-1234.0,-3153.0,2.0,1.0,0.5411237022695412,-2.0,0.0,327024.0,112500.0,23827.5,100032.0,43.69315068493151,1.0,0.0
28,0.0,-1796.0,-2661.0,1.0,0.0,0.6850109901296888,-849.0,0.0,790830.0,270000.0,57676.5,100033.0,27.38082191780822,0.0,1.0
29,0.0,-1010.0,-3015.0,2.0,0.0,0.5027790378786304,-599.0,0.0,180000.0,90000.0,9000.0,100034.0,28.33150684931507,1.0,1.0
30,0.0,-2668.0,-3787.0,2.0,0.0,0.479987342189869,-1634.0,1.0,665892.0,292500.0,24592.5,100035.0,41.863013698630134,0.0,0.0
31,0.0,-1104.0,-2904.0,2.0,0.0,0.6273004007953609,-397.0,1.0,512064.0,112500.0,25033.5,100036.0,30.53150684931507,1.0,0.0
32,0.0,-4404.0,-4464.0,2.0,0.0,0.5594667916353414,-2766.0,1.0,199008.0,90000.0,20893.5,100037.0,35.54520547945206,1.0,0.0
33,0.0,-2060.0,-3557.0,2.0,1.0,0.3217448956617718,-697.0,0.0,733315.5,360000.0,39069.0,100039.0,32.038356164383565,0.0,0.0
34,0.0,-4585.0,-4067.0,2.0,0.0,0.1724975081477771,-3019.0,1.0,1125000.0,135000.0,32895.0,100040.0,43.827397260273976,0.0,1.0
35,0.0,-1275.0,-2009.0,2.0,0.0,0.6631580756296298,-1285.0,1.0,450000.0,112500.0,44509.5,100041.0,33.30958904109589,1.0,1.0
36,0.0,-768.0,-735.0,2.0,0.0,0.6816988025574287,-2411.0,1.0,641173.5,198000.0,23157.0,100043.0,47.12054794520548,0.0,0.0
37,0.0,-1288.0,-4270.0,2.0,1.0,0.7197985370372056,-1541.0,0.0,454500.0,121500.0,15151.5,100044.0,57.74520547945205,1.0,0.0
38,0.0,-1213.0,-4969.0,2.0,0.0,0.6507647995068742,0.0,1.0,247275.0,99000.0,17338.5,100045.0,65.53424657534246,0.0,0.0
39,0.0,-1761.0,-4292.0,2.0,0.0,0.7380532835697358,-540.0,0.0,540000.0,180000.0,27000.0,100046.0,44.18082191780822,1.0,1.0
40,1.0,-1262.0,-1029.0,2.0,0.0,0.306840586048305,-1075.0,0.0,1193580.0,202500.0,35028.0,100047.0,47.895890410958906,0.0,0.0
41,0.0,-475.0,-513.0,2.0,1.0,0.0373152355612163,-458.0,1.0,604152.0,202500.0,29196.0,100048.0,46.49589041095891,1.0,0.0
42,1.0,-3597.0,-4409.0,3.0,0.0,0.6742032101473874,-1480.0,1.0,288873.0,135000.0,16258.5,100049.0,36.66849315068493,1.0,0.0
43,0.0,-1213.0,-4576.0,2.0,0.0,0.7661378050275851,-491.0,1.0,746280.0,108000.0,42970.5,100050.0,64.51506849315068,0.0,1.0
